Count,Author list,Title,Doi-weblink,Journal,Volume,Year,,
1,"\textbf{Misra P.}, Takeuchi W.", Air Quality Analysis Using Nighttime Light for Indian Urban Regions. ,https://doi.org/10.1088/1755-1315/37/1/012077},Malaysian Journal of Remote Sensing and GIS,Vol 5(2),2016,,
2,"\textbf{Misra P.}, Fujikawa A., Takeuchi W.", Novel Decomposition Scheme for Characterizing Urban Air Quality with MODIS. ,https://doi.org/10.3390/rs9080812},Remote Sensing," Vol 9(8), 812",2017,,
3,"\textbf{Misra P.}, Avtar R., Takeuchi W."," Comparison of digital building height models extracted from AW3D, TanDEM-X, ASTER and SRTM digital surface model over Yangon city.  ",https://doi.org/10.3390/rs10122008},Remote Sensing,"Vol 10(12), 2008",2018,,"- \textbf{Misra P.}, Avtar R., Takeuchi W.[ Comparison of digital building height models extracted from AW3D, TanDEM-X, ASTER and SRTM digital surface model over Yangon city.  ](https://doi.org/10.3390/rs10122008}), Remote Sensing Vol 10(12), 2008"
4,"Minh H.V.T., Avtar R., Mohan G., \textbf{Misra P.}, Kurasaki M.", Monitoring and Mapping of Rice Cropping Pattern in Flooding Area in the Vietnamese Mekong Delta Using Sentinel-1A Data: A Case of An Giang Province. ,https://doi.org/10.3390/ijgi8050211},ISPRS International Journal of Geo-Information,"Vol 8(5), 211",2019,,
5,"\textbf{Misra P.}, Imasu R., Takeuchi W.", Impact of Urban Growth on Air Quality in Indian Cities Using Hierarchical Bayesian Approach. ,https://doi.org/10.3390/atmos10090517},Atmosphere,"Vol 10(9), 517",2019,,
6,"\textbf{Misra P.}, Takeuchi W.", Assessing Population Sensitivity to Urban Air Pollution Using Google Trends and Remote Sensing Datasets. ,https://doi.org/10.5194/isprs-archives-XLII-3-W11-93-2020},Int. Arch. Photogramm. Remote Sens. Spatial Inf. Sci.,"XLII-3/W11, 93-100",2020,,
7,"Rahman M.M., Avtar R., Yunus A.P., Dou J.,  \textbf{Misra P.}, Takeuchi W., Sahu N., Kumar P., Johnson B.A., Dasgupta R., Kharrazi A., Chakraborty S., Agustiono K.T.",  Monitoring Effect of Spatial Growth on Land Surface Temperature in Dhaka. ,https://doi.org/10.3390/rs12071191},Remote Sensing,"Vol 12(7), 1191",2020,,
8,"Dhaka S.K., Chetna, Kumar V., Panwar V., Dimri A.P., Singh N., Patra P.K., Matsumi Y., Takigawa M., Nakayama T., Yamaji K., Kajino M., \textbf{Misra P.}, Hayashida S.", PM2.5 diminution and mist events over Delhi during the COVID-19 lockdown period: an interplay between the baseline pollution and meteorology.  ,https://doi.org/10.1038/s41598-020-70179-8},Nature Scientific Reports,"10, 13442",2020,,
9,"\textbf{Misra P.}, Imasu R., Hayashida S., Ardhi A., Takeuchi W.", Mapping Brick Kilns to support Environmental Impact Studies around Delhi using Sentinel-2. ,https://doi.org/10.3390/ijgi9090544},ISPRS International Journal of Geo-Information,"Vol 9(9), 544",2020,,
10,"Avtar R., Singh D., Umarhadi D.A., Yunus A.P., \textbf{Misra P.}, Desai P.N., Kouser A., Kurniawan T.A., Phanindra K.B.V.N.", Impact of COVID-19 Lockdown on the Fisheries Sector: A Case Study from Three Harbors in Western India. ,https://doi.org/10.3390/rs13020183} ,Remote Sensing,"Vol 13(2), 183",2021,,
